question_id,tier,model,run,llm_elapsed_ms,ref_elapsed_ms,llm_read_rows,ref_read_rows,llm_read_bytes,ref_read_bytes,llm_result_rows,ref_result_rows,speedup_ratio
t5_09,5,claude-opus-4.6,3,6.0,5.0,16408,16384,262336,131072,24,24,1.2
t1_01,1,claude-opus-4,1,3.0,1.0,1,1,16,16,1,1,3.0
t1_01,1,claude-opus-4,2,1.0,1.0,1,1,16,16,1,1,1.0
t1_01,1,claude-opus-4,3,1.0,1.0,1,1,16,16,1,1,1.0
t1_02,1,claude-opus-4,1,7.0,8.0,115264,115264,1844224,1844224,10,10,0.875
t1_02,1,claude-opus-4,2,6.0,7.0,115264,115264,1844224,1844224,10,10,0.8571
t1_02,1,claude-opus-4,3,7.0,6.0,115264,115264,1844224,1844224,10,10,1.1667
t1_03,1,claude-opus-4,1,3.0,4.0,1,1,16,16,1,1,0.75
t1_03,1,claude-opus-4,2,3.0,3.0,1,1,16,16,1,1,1.0
t1_03,1,claude-opus-4,3,3.0,3.0,1,1,16,16,1,1,1.0
t1_04,1,claude-opus-4,1,9.0,11.0,1000000,1000000,1001944,1001944,5,5,0.8182
t1_04,1,claude-opus-4,2,9.0,10.0,1000000,1000000,1001944,1001944,5,5,0.9
t1_04,1,claude-opus-4,3,9.0,10.0,1000000,1000000,1001944,1001944,5,5,0.9
t1_05,1,claude-opus-4,1,7.0,5.0,1000000,1000000,1002592,1002592,1,1,1.4
t1_05,1,claude-opus-4,2,6.0,5.0,1000000,1000000,1002592,1002592,1,1,1.2
t1_05,1,claude-opus-4,3,5.0,6.0,1000000,1000000,1002592,1002592,1,1,0.8333
t1_06,1,claude-opus-4,1,10.0,11.0,688128,688128,11699148,11699148,5,5,0.9091
t1_06,1,claude-opus-4,2,10.0,10.0,688128,688128,11699148,11699148,5,5,1.0
t1_06,1,claude-opus-4,3,11.0,11.0,688128,688128,11699148,11699148,5,5,1.0
t1_07,1,claude-opus-4,1,3.0,3.0,10000,10000,10049,10049,1,1,1.0
t1_07,1,claude-opus-4,2,3.0,3.0,10000,10000,10049,10049,1,1,1.0
t1_07,1,claude-opus-4,3,3.0,3.0,10000,10000,10049,10049,1,1,1.0
t1_08,1,claude-opus-4,1,2.0,2.0,12,12,960,960,1,1,1.0
t1_08,1,claude-opus-4,2,3.0,3.0,12,12,960,960,1,1,1.0
t1_08,1,claude-opus-4,3,3.0,3.0,12,12,960,960,1,1,1.0
t1_09,1,claude-opus-4,1,24.0,20.0,614295,614295,72148495,72148495,101,101,1.2
t1_09,1,claude-opus-4,2,21.0,22.0,614295,614295,72148495,72148495,101,101,0.9545
t1_09,1,claude-opus-4,3,20.0,20.0,614295,614295,72148495,72148495,101,101,1.0
t1_10,1,claude-opus-4,1,6.0,6.0,1000000,1000000,1000000,1000000,1,1,1.0
t1_10,1,claude-opus-4,2,6.0,6.0,1000000,1000000,1000000,1000000,1,1,1.0
t1_10,1,claude-opus-4,3,5.0,6.0,1000000,1000000,1000000,1000000,1,1,0.8333
t2_01,2,claude-opus-4,1,6.0,8.0,1000000,1000000,1001944,1001944,5,5,0.75
t2_01,2,claude-opus-4,2,7.0,6.0,1000000,1000000,1001944,1001944,5,5,1.1667
t2_01,2,claude-opus-4,3,6.0,7.0,1000000,1000000,1001944,1001944,5,5,0.8571
t2_02,2,claude-opus-4,1,9.0,8.0,1000000,1000000,6001224,6001224,3,3,1.125
t2_02,2,claude-opus-4,2,10.0,10.0,1000000,1000000,6001224,6001224,3,3,1.0
t2_02,2,claude-opus-4,3,9.0,8.0,1000000,1000000,6001224,6001224,3,3,1.125
t2_03,2,claude-opus-4,1,7.0,8.0,85592,85592,684736,684736,31,31,0.875
t2_03,2,claude-opus-4,2,9.0,8.0,85592,85592,684736,684736,31,31,1.125
t2_03,2,claude-opus-4,3,8.0,8.0,85592,85592,684736,684736,31,31,1.0
t2_04,2,claude-opus-4,1,8.0,6.0,1000000,1000000,1002592,1002592,10,10,1.3333
t2_04,2,claude-opus-4,2,6.0,7.0,1000000,1000000,1002592,1002592,10,10,0.8571
t2_04,2,claude-opus-4,3,9.0,7.0,1000000,1000000,1002592,1002592,10,10,1.2857
t2_05,2,claude-opus-4,1,9.0,9.0,1000000,1000000,8000000,8000000,24,24,1.0
t2_05,2,claude-opus-4,2,8.0,8.0,1000000,1000000,8000000,8000000,24,24,1.0
t2_05,2,claude-opus-4,3,11.0,10.0,1000000,1000000,8000000,8000000,24,24,1.1
t2_06,2,claude-opus-4,1,8.0,7.0,1000000,1000000,6001944,6001944,1,1,1.1429
t2_06,2,claude-opus-4,2,9.0,7.0,1000000,1000000,6001944,6001944,1,1,1.2857
t2_06,2,claude-opus-4,3,10.0,7.0,1000000,1000000,6001944,6001944,1,1,1.4286
t2_07,2,claude-opus-4,1,11.0,13.0,1000000,1000000,8000000,8000000,12,12,0.8462
t2_07,2,claude-opus-4,2,15.0,14.0,1000000,1000000,8000000,8000000,12,12,1.0714
t2_07,2,claude-opus-4,3,13.0,14.0,1000000,1000000,8000000,8000000,12,12,0.9286
t2_08,2,claude-opus-4,1,10.0,9.0,1000000,1000000,2004536,2004536,5,5,1.1111
t2_08,2,claude-opus-4,2,10.0,9.0,1000000,1000000,2004536,2004536,5,5,1.1111
t2_08,2,claude-opus-4,3,8.0,9.0,1000000,1000000,2004536,2004536,5,5,0.8889
t2_09,2,claude-opus-4,1,8.0,10.0,1000000,1000000,10002592,10002592,10,10,0.8
t2_09,2,claude-opus-4,2,9.0,10.0,1000000,1000000,10002592,10002592,10,10,0.9
t2_09,2,claude-opus-4,3,9.0,9.0,1000000,1000000,10002592,10002592,10,10,1.0
t2_10,2,claude-opus-4,1,6.0,5.0,1000000,1000000,1001944,1001944,1,1,1.2
t2_10,2,claude-opus-4,2,6.0,6.0,1000000,1000000,1001944,1001944,1,1,1.0
t2_10,2,claude-opus-4,3,7.0,6.0,1000000,1000000,1001944,1001944,1,1,1.1667
t3_01,3,claude-opus-4,1,8.0,9.0,1000000,1000000,5000000,5000000,1,1,0.8889
t3_01,3,claude-opus-4,2,8.0,7.0,1000000,1000000,5000000,5000000,1,1,1.1429
t3_01,3,claude-opus-4,3,8.0,7.0,1000000,1000000,5000000,5000000,1,1,1.1429
t3_02,3,claude-opus-4,1,13.0,15.0,1000000,1000000,8000000,8000000,1,1,0.8667
t3_02,3,claude-opus-4,2,12.0,14.0,1000000,1000000,8000000,8000000,1,1,0.8571
t3_02,3,claude-opus-4,3,12.0,12.0,1000000,1000000,8000000,8000000,1,1,1.0
t3_05,3,claude-opus-4,1,9.0,10.0,1000000,1000000,13471881,13471881,5,5,0.9
t3_05,3,claude-opus-4,2,9.0,8.0,1000000,1000000,13471881,13471881,5,5,1.125
t3_05,3,claude-opus-4,3,12.0,8.0,1000000,1000000,13471881,13471881,5,5,1.5
t3_07,3,claude-opus-4,1,14.0,14.0,1000000,1000000,6001944,6001944,5,5,1.0
t3_07,3,claude-opus-4,2,14.0,14.0,1000000,1000000,6001944,6001944,5,5,1.0
t3_07,3,claude-opus-4,3,15.0,14.0,1000000,1000000,6001944,6001944,5,5,1.0714
t3_08,3,claude-opus-4,1,8.0,7.0,1000000,1000000,10001224,10001224,1,1,1.1429
t3_08,3,claude-opus-4,2,7.0,7.0,1000000,1000000,10001224,10001224,1,1,1.0
t3_08,3,claude-opus-4,3,8.0,9.0,1000000,1000000,10001224,10001224,1,1,0.8889
t3_09,3,claude-opus-4,1,13.0,14.0,1000000,1000000,27329552,27329552,2,2,0.9286
t3_09,3,claude-opus-4,2,13.0,12.0,1000000,1000000,27329552,27329552,2,2,1.0833
t3_09,3,claude-opus-4,3,12.0,13.0,1000000,1000000,27329552,27329552,2,2,0.9231
t4_02,4,claude-opus-4,1,19.0,16.0,1010000,1010000,8090049,8090049,3,3,1.1875
t4_02,4,claude-opus-4,2,17.0,19.0,1010000,1010000,8090049,8090049,3,3,0.8947
t4_02,4,claude-opus-4,3,17.0,17.0,1010000,1010000,8090049,8090049,3,3,1.0
t4_03,4,claude-opus-4,1,17.0,5.0,1010000,0,8080000,0,0,0,3.4
t4_03,4,claude-opus-4,2,14.0,4.0,1010000,0,8080000,0,0,0,3.5
t4_03,4,claude-opus-4,3,15.0,4.0,1010000,0,8080000,0,0,0,3.75
t4_05,4,claude-opus-4,1,28.0,35.0,2000000,2000000,16000000,16000000,4693,4693,0.8
t4_05,4,claude-opus-4,2,25.0,29.0,2000000,2000000,16000000,16000000,4693,4693,0.8621
t4_05,4,claude-opus-4,3,25.0,30.0,2000000,2000000,16000000,16000000,4693,4693,0.8333
t4_07,4,claude-opus-4,1,22.0,32.0,1010000,1010000,16090049,8090049,3,3,0.6875
t4_07,4,claude-opus-4,2,23.0,32.0,1010000,1010000,16090049,8090049,3,3,0.7188
t4_07,4,claude-opus-4,3,22.0,32.0,1010000,1010000,16090049,8090049,3,3,0.6875
t4_08,4,claude-opus-4,1,11.0,37.0,1010000,1010000,9460995,9440838,4948,4948,0.2973
t4_08,4,claude-opus-4,2,13.0,35.0,1010000,1010000,9460995,9440838,4948,4948,0.3714
t4_08,4,claude-opus-4,3,12.0,35.0,1010000,1010000,9460995,9440838,4948,4948,0.3429
t4_09,4,claude-opus-4,1,5.0,4.0,10000,10000,20157,20157,1,1,1.25
t4_09,4,claude-opus-4,2,4.0,4.0,10000,10000,20157,20157,1,1,1.0
t4_09,4,claude-opus-4,3,4.0,4.0,10000,10000,20157,20157,1,1,1.0
t5_02,5,claude-opus-4,1,12.0,15.0,1000000,1000000,8000000,8000000,365,365,0.8
t5_02,5,claude-opus-4,2,15.0,14.0,1000000,1000000,8000000,8000000,365,365,1.0714
t5_02,5,claude-opus-4,3,13.0,15.0,1000000,1000000,8000000,8000000,365,365,0.8667
t5_03,5,claude-opus-4,1,11.0,11.0,1000000,1000000,8000000,8000000,365,365,1.0
t5_03,5,claude-opus-4,2,10.0,13.0,1000000,1000000,8000000,8000000,365,365,0.7692
t5_03,5,claude-opus-4,3,12.0,13.0,1000000,1000000,8000000,8000000,365,365,0.9231
t5_05,5,claude-opus-4,1,43.0,39.0,1000000,1000000,14001944,14001944,5,5,1.1026
t5_05,5,claude-opus-4,2,40.0,38.0,1000000,1000000,14001944,14001944,5,5,1.0526
t5_05,5,claude-opus-4,3,37.0,40.0,1000000,1000000,14001944,14001944,5,5,0.925
t5_09,5,claude-opus-4,1,6.0,5.0,16408,16384,262336,131072,24,24,1.2
t5_09,5,claude-opus-4,2,7.0,5.0,16408,16384,262336,131072,24,24,1.4
t5_09,5,claude-opus-4,3,7.0,5.0,16408,16384,262336,131072,24,24,1.4
t1_01,1,claude-sonnet-4.5,1,1.0,1.0,1,1,16,16,1,1,1.0
t1_01,1,claude-sonnet-4.5,2,1.0,1.0,1,1,16,16,1,1,1.0
t1_01,1,claude-sonnet-4.5,3,1.0,1.0,1,1,16,16,1,1,1.0
t1_02,1,claude-sonnet-4.5,1,6.0,7.0,115264,115264,1844224,1844224,10,10,0.8571
t1_02,1,claude-sonnet-4.5,2,7.0,8.0,115264,115264,1844224,1844224,10,10,0.875
t1_02,1,claude-sonnet-4.5,3,7.0,7.0,115264,115264,1844224,1844224,10,10,1.0
t1_03,1,claude-sonnet-4.5,1,3.0,4.0,1,1,16,16,1,1,0.75
t1_03,1,claude-sonnet-4.5,2,4.0,4.0,1,1,16,16,1,1,1.0
t1_03,1,claude-sonnet-4.5,3,3.0,3.0,1,1,16,16,1,1,1.0
t1_04,1,claude-sonnet-4.5,1,9.0,10.0,1000000,1000000,1001944,1001944,5,5,0.9
t1_04,1,claude-sonnet-4.5,2,9.0,10.0,1000000,1000000,1001944,1001944,5,5,0.9
t1_04,1,claude-sonnet-4.5,3,10.0,10.0,1000000,1000000,1001944,1001944,5,5,1.0
t1_05,1,claude-sonnet-4.5,1,5.0,5.0,1000000,1000000,1002592,1002592,1,1,1.0
t1_05,1,claude-sonnet-4.5,2,7.0,6.0,1000000,1000000,1002592,1002592,1,1,1.1667
t1_05,1,claude-sonnet-4.5,3,5.0,5.0,1000000,1000000,1002592,1002592,1,1,1.0
t1_06,1,claude-sonnet-4.5,1,11.0,9.0,688128,688128,11699148,11699148,5,5,1.2222
t1_06,1,claude-sonnet-4.5,2,10.0,11.0,688128,688128,11699148,11699148,5,5,0.9091
t1_06,1,claude-sonnet-4.5,3,12.0,12.0,688128,688128,11699148,11699148,5,5,1.0
t1_07,1,claude-sonnet-4.5,1,4.0,3.0,10000,10000,10049,10049,1,1,1.3333
t1_07,1,claude-sonnet-4.5,2,3.0,3.0,10000,10000,10049,10049,1,1,1.0
t1_07,1,claude-sonnet-4.5,3,3.0,4.0,10000,10000,10049,10049,1,1,0.75
t1_08,1,claude-sonnet-4.5,1,2.0,3.0,12,12,960,960,1,1,0.6667
t1_08,1,claude-sonnet-4.5,2,3.0,3.0,12,12,960,960,1,1,1.0
t1_08,1,claude-sonnet-4.5,3,2.0,3.0,12,12,960,960,1,1,0.6667
t1_09,1,claude-sonnet-4.5,1,20.0,21.0,614295,614295,72148495,72148495,101,101,0.9524
t1_09,1,claude-sonnet-4.5,2,20.0,19.0,614295,614295,72148495,72148495,101,101,1.0526
t1_09,1,claude-sonnet-4.5,3,20.0,22.0,614295,614295,72148495,72148495,101,101,0.9091
t1_10,1,claude-sonnet-4.5,1,6.0,5.0,1000000,1000000,1000000,1000000,1,1,1.2
t1_10,1,claude-sonnet-4.5,2,5.0,6.0,1000000,1000000,1000000,1000000,1,1,0.8333
t1_10,1,claude-sonnet-4.5,3,5.0,6.0,1000000,1000000,1000000,1000000,1,1,0.8333
t2_01,2,claude-sonnet-4.5,1,6.0,6.0,1000000,1000000,1001944,1001944,5,5,1.0
t2_01,2,claude-sonnet-4.5,2,6.0,6.0,1000000,1000000,1001944,1001944,5,5,1.0
t2_01,2,claude-sonnet-4.5,3,6.0,6.0,1000000,1000000,1001944,1001944,5,5,1.0
t2_02,2,claude-sonnet-4.5,1,10.0,9.0,1000000,1000000,6001224,6001224,3,3,1.1111
t2_02,2,claude-sonnet-4.5,2,8.0,7.0,1000000,1000000,6001224,6001224,3,3,1.1429
t2_02,2,claude-sonnet-4.5,3,10.0,8.0,1000000,1000000,6001224,6001224,3,3,1.25
t2_03,2,claude-sonnet-4.5,1,7.0,8.0,85592,85592,684736,684736,31,31,0.875
t2_03,2,claude-sonnet-4.5,2,8.0,8.0,85592,85592,684736,684736,31,31,1.0
t2_03,2,claude-sonnet-4.5,3,8.0,8.0,85592,85592,684736,684736,31,31,1.0
t2_05,2,claude-sonnet-4.5,1,10.0,9.0,1000000,1000000,8000000,8000000,24,24,1.1111
t2_05,2,claude-sonnet-4.5,2,9.0,8.0,1000000,1000000,8000000,8000000,24,24,1.125
t2_05,2,claude-sonnet-4.5,3,9.0,8.0,1000000,1000000,8000000,8000000,24,24,1.125
t2_06,2,claude-sonnet-4.5,1,8.0,7.0,1000000,1000000,6001944,6001944,1,1,1.1429
t2_06,2,claude-sonnet-4.5,2,8.0,7.0,1000000,1000000,6001944,6001944,1,1,1.1429
t2_06,2,claude-sonnet-4.5,3,8.0,7.0,1000000,1000000,6001944,6001944,1,1,1.1429
t2_07,2,claude-sonnet-4.5,1,11.0,13.0,1000000,1000000,8000000,8000000,12,12,0.8462
t2_07,2,claude-sonnet-4.5,2,14.0,12.0,1000000,1000000,8000000,8000000,12,12,1.1667
t2_07,2,claude-sonnet-4.5,3,11.0,14.0,1000000,1000000,8000000,8000000,12,12,0.7857
t2_08,2,claude-sonnet-4.5,1,14.0,9.0,1000000,1000000,2004536,2004536,5,5,1.5556
t2_08,2,claude-sonnet-4.5,2,10.0,9.0,1000000,1000000,2004536,2004536,5,5,1.1111
t2_08,2,claude-sonnet-4.5,3,10.0,8.0,1000000,1000000,2004536,2004536,5,5,1.25
t2_09,2,claude-sonnet-4.5,1,10.0,9.0,1000000,1000000,10002592,10002592,10,10,1.1111
t2_09,2,claude-sonnet-4.5,2,10.0,9.0,1000000,1000000,10002592,10002592,10,10,1.1111
t2_09,2,claude-sonnet-4.5,3,9.0,10.0,1000000,1000000,10002592,10002592,10,10,0.9
t3_01,3,claude-sonnet-4.5,1,9.0,6.0,1000000,1000000,5000000,5000000,1,1,1.5
t3_01,3,claude-sonnet-4.5,2,8.0,9.0,1000000,1000000,5000000,5000000,1,1,0.8889
t3_01,3,claude-sonnet-4.5,3,8.0,8.0,1000000,1000000,5000000,5000000,1,1,1.0
t3_02,3,claude-sonnet-4.5,1,10.0,15.0,1000000,1000000,8000000,8000000,1,1,0.6667
t3_02,3,claude-sonnet-4.5,2,10.0,11.0,1000000,1000000,8000000,8000000,1,1,0.9091
t3_02,3,claude-sonnet-4.5,3,10.0,13.0,1000000,1000000,8000000,8000000,1,1,0.7692
t3_05,3,claude-sonnet-4.5,1,9.0,9.0,1000000,1000000,13471881,13471881,5,5,1.0
t3_05,3,claude-sonnet-4.5,2,8.0,8.0,1000000,1000000,13471881,13471881,5,5,1.0
